To(end),From,Backers,yend,xend,Region
Hackney,United Kingdom,292,51.540323,-0.06039,Continental
Hackney,United States,280,51.540323,-0.06039,International
Hackney,Germany,107,51.540323,-0.06039,Continental
Hackney,Australia,46,51.540323,-0.06039,International
Hackney,France,43,51.540323,-0.06039,Continental
Hackney,Netherlands,39,51.540323,-0.06039,Continental
Hackney,Japan,33,51.540323,-0.06039,International
Hackney,Italy,29,51.540323,-0.06039,International
Hackney,Canada,26,51.540323,-0.06039,International
Hackney,Spain,25,51.540323,-0.06039,Continental